feature_name,importance
delta1__2fzg4,4.684660040054639e-16
std5__2fhsw4,3.1568664007303607e-16
std5__2fhw2,2.77939611321992e-16
current__2fry3,1.5993014053499717e-16
mean5__2ffy2,1.2738005780287964e-16
mean5__2fry1,1.0847528911243715e-16
current__2fry1,9.004201692783211e-17
std5__2fry2,8.237433315442185e-17
mean5__2fsh2,8.004759344497625e-17
std20__2fry1,5.801634739253042e-17
std20__2fyj2,5.650080670344648e-17
std20__2fzg3,5.0895528955902473e-17
delta1__2fn2,5.026989951461168e-17
delta1__2fpw2,4.8401788894840575e-17
delta1__2fn4,4.832120560116994e-17
current__2fyj2,2.8004118300110614e-17
current__2fsh4,2.108164970032442e-17
delta1__2fhw1,1.7445403638289192e-17
delta1__2fry2,1.5103436649481855e-17
current__2fry2,4.86101070270501e-18
delta1__2fsh2,3.586405410461885e-18
std5__2fry3,2.3647938175614663e-18
std20__2fry3,8.673919496442115e-19
std20__2fsh3,3.418995306863126e-20
delta1__2fhsw4,0.0
std5__2fry4,0.0
std5__2jhdb,0.0
std5__2fyj1,0.0
std5__2fyj2,0.0
std5__2fzg2,0.0
mean5__2fry3,0.0
delta1__2fyj3,0.0
delta1__2fzg2,0.0
delta1__2ftpj,0.0
std20__2fyj1,0.0
std20__2fsh2,0.0
std20__2fry2,0.0
delta1__2fyj4,0.0
delta1__2fyj1,0.0
delta1__2fyj2,0.0
current__2fyj3,0.0
delta1__2fzs2,0.0
delta1__2fzs4,0.0
delta1__2fzs3,0.0
delta1__2fry3,0.0
current__2fry4,0.0
delta1__2fry4,0.0
delta1__2fry1,0.0
delta1__2ffy2,0.0
delta1__2ffy1,0.0
