feature,files,healthy_files,defective_files,median_non_null_ratio,median_unique_values,global_std,healthy_file_ratio,defective_file_ratio,selected_for_anomaly
2zprd,32,18,14,1.0,43.0,0.37954219469964484,0.8181818181818182,0.9333333333333333,True
zpxd,32,18,14,1.0,43.0,0.39354581168494984,0.8181818181818182,0.9333333333333333,True
2ffy4,32,18,14,1.0,42.5,10.822290805266949,0.8181818181818182,0.9333333333333333,True
ffy3,32,18,14,1.0,42.5,11.50399839019197,0.8181818181818182,0.9333333333333333,True
zprd,32,18,14,1.0,42.5,0.37922798054493156,0.8181818181818182,0.9333333333333333,True
2ffy2,32,18,14,1.0,42.0,12.839541024950476,0.8181818181818182,0.9333333333333333,True
2ffy3,32,18,14,1.0,42.0,11.510492372325693,0.8181818181818182,0.9333333333333333,True
ffy2,32,18,14,1.0,42.0,12.831611194314036,0.8181818181818182,0.9333333333333333,True
zpld,32,18,14,1.0,42.0,1.9806196647519738,0.8181818181818182,0.9333333333333333,True
ffy4,32,18,14,1.0,41.5,10.814530878971068,0.8181818181818182,0.9333333333333333,True
2ffy1,32,18,14,1.0,40.0,9.200269423655834,0.8181818181818182,0.9333333333333333,True
ffy1,32,18,14,1.0,38.0,9.189077569519828,0.8181818181818182,0.9333333333333333,True
2ryy,32,18,14,1.0,32.0,0.1372997779671855,0.8181818181818182,0.9333333333333333,True
ryy,32,18,14,1.0,32.0,0.13797498628741084,0.8181818181818182,0.9333333333333333,True
fzg3,32,18,14,1.0,30.5,1.6669537793031663,0.8181818181818182,0.9333333333333333,True
2fzg3,32,18,14,1.0,30.0,1.6714808601360378,0.8181818181818182,0.9333333333333333,True
2lyy,32,18,14,1.0,25.0,0.07192931647435728,0.8181818181818182,0.9333333333333333,True
lyy,32,18,14,1.0,24.0,0.07122402435360944,0.8181818181818182,0.9333333333333333,True
2fry2,32,18,14,1.0,19.5,3.349632174102746,0.8181818181818182,0.9333333333333333,True
fry2,32,18,14,1.0,19.5,3.3425275504579703,0.8181818181818182,0.9333333333333333,True
2fry3,32,18,14,1.0,18.5,2.2760073906384735,0.8181818181818182,0.9333333333333333,True
fry3,32,18,14,1.0,18.0,2.2736817757659673,0.8181818181818182,0.9333333333333333,True
